network,timestamp,text
MSNBC,11:21:30,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
CNN,11:21:50,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
FOX,11:22:00,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
MSNBC,11:22:00,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
MSNBC,11:22:40,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
CNN,11:22:40,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,11:22:50,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
l MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
FOX,11:23:10,COMEY: PRES DID NOT ORDER ME TO LET FLYNN PROBE GO
MSNBC,11:23:40,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
MSNBC,11:24:00,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,11:24:00,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETING"
FOX,11:24:10,COMEY: I HOPE THERE ARE TAPES OF TRUMP MEETINGS
MSNBC,11:24:30,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
MSNBC,11:25:10,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
FOX,11:25:30,COMEY: TRUMP ADMINISTRATION CHOSE TO DEFAME ME
MSNBC,11:25:30,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
MSNBC,11:25:50,"COMEY: WROTE MEETING NOTES BECAUSE I ""KNEW""
l MIGHT NEED RECORD TO DEFEND MYSELF, FBI"
FOX,11:26:20,COMEY: NOBODY ASKED ME TO STOP RUSSIA PROBE
FOX,11:26:50,COMEY: I ASKED FRIEND TO GIVE MEMO TO REPORTER
CNN,11:27:00,COMEY: NO DOUBT RUSSIA MEDDLED IN ELECTION
MSNBC,11:27:40,"COMEY: WROTE TRUMP MEMOS BECAUSE
""I WAS HONESTLY CONCERNED THAT HE MIGHT LIE"""
FOX,11:28:40,COMEY: NOT FOR ME TO SAY IF TRUMP OBSTRUCTED
MSNBC,11:28:50,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,11:29:20,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
FOX,11:29:40,COMEY: PRESIDENT TRUMP ASKED ME FOR LOYALTY
MSNBC,11:29:50,"COMEY: I ASKED PROFESSOR ""FRIEND OF MINE""
TO SHOW MEETING MEMOS TO REPORTER"
MSNBC,11:30:30,"COMEY: SESSIONS ROLE IN RUSSIA PROBE
""PROBLEMATIC,"" CAN'T DISCUSS PUBLICLY"
FOX,11:31:00,COMEY: SHARED MEMO TO PROMPT SPECIAL COUNSEL
CNN,11:31:10,FIRED FBI CHIEF COMEY TESTIFIES AT SENATE HEARING
CNN,11:31:20,COMEY: TRUMP ADMIN LIED ABOUT ME & FBI
MSNBC,11:31:30,COMEY: TRUMP LIED ABOUT REASONS FOR FIRING
CNN,11:31:50,"COMEY: I SHARED MEMO ON TRUMP MEETING WITH FRIEND

 

Says he thought it would prompt appointment of special prosecutor"
MSNBC,11:32:10,"COMEY: I TAKE TRUMP ""AT HIS WORD"" THAT I
WAS FIRED ""BECAUSE OF THE RUSSIA INVESTIGATION"""
FOX,11:32:40,COMEY: RUSSIA PROBE PLAYED ROLE IN MY FIRING
MSNBC,11:33:00,"COMEY: ""LORDY, I HOPE THERE ARE TAPES"" OF TRUMP MEETINGS"
CNN,11:33:20,COMEY: I TOOK TRUMP'S WORDS AS DIRECTION
MSNBC,11:33:50,"COMEY: ""SURE"" SPECIAL COUNSEL IS LOOKING
INTO WHETHER TRUMP OBSTRUCTED JUSTICE"
